City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,phek,25.6667,94.5,23.52,38,11,0.31,IN,1731559227
112,lebu,-37.6167,-73.65,12.23,97,37,5.83,CL,1731559228
113,carutapera,-1.195,-46.02,25.28,80,17,3.02,BR,1731559229
114,holualoa,19.6228,-155.9522,21.97,89,27,0.83,US,1731558970
115,mermoz boabab,14.7065,-17.4758,20.88,100,20,2.06,SN,1731559231
116,caleta de carquin,-11.0925,-77.6267,18.26,85,96,3.0,PE,1731559232
117,sakon nakhon,17.3333,103.8333,32.13,51,2,0.87,TH,1731559233
118,keflavik,64.0049,-22.5624,9.24,100,100,12.35,IS,1731559234
119,bilibino,68.0546,166.4372,-28.97,100,93,0.26,RU,1731559235
120,san blas,21.5167,-105.2667,22.89,90,65,1.36,MX,1731559236
121,impfondo,1.6381,18.0667,21.3,98,87,1.18,CG,1731559239
122,san antonio de pale,-1.4014,5.6325,25.9,85,100,6.16,GQ,1731559240
123,tamasi,46.6333,18.2833,-1.13,88,65,1.22,HU,1731559241
124,santiago papasquiaro,25.046,-105.4208,12.92,22,0,1.08,MX,1731559242
125,foumbot,5.5079,10.6356,18.97,81,91,0.98,CM,1731559243
126,pemangkat,1.1667,108.9667,28.95,73,59,3.01,ID,1731559244
127,touros,-5.1989,-35.4608,25.72,68,100,5.7,BR,1731559245
128,anadyr,64.75,177.4833,-2.72,80,20,10.0,RU,1731559246
129,yulinshi,38.2906,109.7494,12.04,61,71,2.0,CN,1731559247
130,riberalta,-10.9833,-66.1,19.56,99,89,1.1,BO,1731559249
131,darwin,-12.4611,130.8418,34.41,55,75,4.63,AU,1731559250
132,nouadhibou,20.931,-17.0347,18.99,82,78,7.2,MR,1731559251
133,pangody,65.85,74.4859,-27.32,100,99,2.75,RU,1731559252
134,road town,18.4167,-64.6167,27.21,75,22,2.71,VG,1731559253
135,souillac,-20.5167,57.5167,26.21,73,75,3.09,MU,1731559254
136,chamical,-30.36,-66.314,23.18,32,76,3.91,AR,1731559255
137,igarka,67.4667,86.5833,-33.25,99,30,2.02,RU,1731559256
138,axim,4.8699,-2.2405,25.52,84,4,1.98,GH,1731559257
139,arraial do cabo,-22.9661,-42.0278,21.2,80,100,5.02,BR,1731559258
140,lompoc,34.6391,-120.4579,10.38,84,0,2.06,US,1731559260
141,manokwari,-0.8667,134.0833,29.22,68,81,4.6,ID,1731559261
142,annau,37.8876,58.516,3.72,93,100,5.14,TM,1731559262
143,villa vicente guerrero,19.1194,-98.1708,15.25,45,95,3.19,MX,1731559023
144,neftcala,39.3742,49.2472,11.82,87,100,2.48,AZ,1731559264
145,chui,-33.6971,-53.4616,11.48,88,61,1.0,UY,1731559265
146,suriapet,17.15,79.6167,28.28,67,54,0.86,IN,1731559266
147,east london,-33.0153,27.9116,14.52,88,0,2.06,ZA,1731559267
148,puerto ayora,-0.7393,-90.3518,22.53,86,71,1.79,EC,1731559268
149,pandan,14.0453,124.1694,30.32,69,100,4.83,PH,1731559269
150,chinchilla,-26.75,150.6333,34.94,18,2,6.31,AU,1731559271
151,atafu village,-8.5421,-172.5159,28.61,76,21,6.25,TK,1731559272
152,nizhniy ingash,56.2,96.53,-6.87,53,100,2.18,RU,1731559273
153,tiksi,71.6872,128.8694,-25.34,100,95,1.35,RU,1731559274
154,tralee,52.2704,-9.7026,10.68,94,100,1.31,IE,1731559275
155,kapit,2.0167,112.9333,33.07,56,71,0.54,MY,1731559276
156,rajaori,33.3833,74.3,20.14,30,16,1.91,IN,1731559277
157,olyokminsk,60.3736,120.4264,-13.6,79,79,1.61,RU,1731559278
158,bengkulu,-3.8004,102.2655,29.09,72,37,3.46,ID,1731559084
159,gargalianoi,37.0667,21.6333,15.98,86,100,2.86,GR,1731559281
160,schweizer-reneke,-27.1887,25.3293,20.53,55,74,7.67,ZA,1731559282
161,jamestown,42.097,-79.2353,6.8,19,0,5.66,US,1731559283
162,arteche,12.2645,125.4048,30.4,69,100,3.82,PH,1731559284
163,roma,43.2128,-75.4557,0.92,68,0,3.09,US,1731559285
164,westport,41.1415,-73.3579,4.39,46,0,2.57,US,1731559204
165,andkhoy,36.9529,65.1238,6.73,56,70,2.89,AF,1731559288
166,tromso,69.6496,18.957,4.01,70,100,15.43,NO,1731559289
167,essaouira,31.5125,-9.77,17.72,88,75,4.12,MA,1731559290
168,pokhara,28.2333,83.9833,20.86,62,15,2.33,NP,1731559292
169,sitka,57.0531,-135.33,2.94,87,20,1.54,US,1731559293
170,portland,45.5234,-122.6762,10.45,93,100,6.71,US,1731559294
171,swanzey,42.8698,-72.2818,-2.89,76,0,1.43,US,1731559295
172,sao tome,0.3365,6.7273,26.2,85,100,3.66,ST,1731559296
173,port mathurin,-19.6833,63.4167,24.39,82,23,6.75,MU,1731559297
174,wailua homesteads,22.0669,-159.378,22.85,80,31,0.45,US,1731559298
175,broome,42.2506,-75.833,0.93,67,0,2.57,US,1731559299
176,two rivers,44.1539,-87.5693,8.34,97,100,4.12,US,1731559300
177,robbah,33.2797,6.9098,13.8,46,41,2.01,DZ,1731559301
178,longyearbyen,78.2186,15.6401,0.91,93,100,2.57,SJ,1731559303
179,polyarnyy,69.1989,33.4478,1.63,79,76,10.45,RU,1731559304
180,rongelap,11.1635,166.8941,28.33,72,5,7.31,MH,1731559305
181,kota kinabalu,5.9749,116.0724,32.99,75,20,2.06,MY,1731559293
182,lakatoro,-16.0999,167.4164,28.59,73,51,3.93,VU,1731559307
183,cascais,38.6979,-9.4215,10.59,82,85,2.24,PT,1731559308
184,buala,-8.145,159.5921,29.14,68,78,1.02,SB,1731559309
185,shagonar,51.5333,92.8,-5.6,43,98,1.44,RU,1731559310
186,yuriria,20.2,-101.15,15.29,46,19,1.28,MX,1731559205
187,afaahiti,-17.75,-149.2833,23.65,79,92,7.07,PF,1731559312
188,hilo,19.7297,-155.09,22.85,99,100,3.09,US,1731559313
189,dunedin,-45.8742,170.5036,12.67,97,100,0.89,NZ,1731559315
190,fort mcmurray,56.7268,-111.381,-6.23,79,100,3.09,CA,1731559316
191,sao felix do xingu,-6.6447,-51.995,21.73,100,98,0.78,BR,1731559317
192,constantia,44.1833,28.65,4.38,90,71,3.35,RO,1731559318
193,dudinka,69.4058,86.1778,-27.93,97,96,3.21,RU,1731559319
194,tolanaro,-25.0319,46.9987,28.04,78,40,5.14,MG,1731559320
195,gao,16.6362,1.637,23.9,23,48,5.28,ML,1731559321
196,dancu,46.7592,28.2089,1.8,88,46,1.66,MD,1731559322
197,kodiak,57.79,-152.4072,1.73,64,0,2.57,US,1731559323
198,soio,-6.1349,12.3689,25.37,90,100,3.59,AO,1731559325
199,georgetown,5.4112,100.3354,30.96,74,20,4.63,MY,1731559231
200,port alfred,-33.5906,26.891,15.1,91,89,2.83,ZA,1731559327
201,port elizabeth,-33.918,25.5701,17.4,78,0,0.89,ZA,1731559328
202,petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,34,0,5.0,RU,1731559329
203,callao,-12.0667,-77.15,19.84,77,0,4.12,PE,1731559260
204,cidreira,-30.1811,-50.2056,16.93,65,0,4.23,BR,1731559331
205,rosarito,32.3333,-117.0333,17.54,47,0,3.27,MX,1731559332
206,kuching,1.55,110.3333,33.34,64,40,1.54,MY,1731559333
207,ancud,-41.8697,-73.8203,12.04,98,100,3.84,CL,1731559334
208,susuman,62.7833,148.1667,-22.13,97,100,1.1,RU,1731559336
209,nea alikarnassos,35.3333,25.1667,19.96,59,20,4.63,GR,1731559337
210,gillette,44.2911,-105.5022,7.51,44,0,11.32,US,1731559338
211,galax,36.6612,-80.924,3.56,72,0,4.63,US,1731559339
212,rikaze,29.25,88.8833,7.78,19,0,0.35,CN,1731559340
213,tabou,4.423,-7.3528,25.22,86,10,1.38,CI,1731559341
214,barcelos,41.5388,-8.6151,11.29,81,24,3.06,PT,1731559196
215,nabire,-3.3667,135.4833,28.98,77,60,2.73,ID,1731559344
216,gisborne,-38.6533,178.0042,20.73,61,100,2.74,NZ,1731559346
217,tegina,10.0706,6.1906,22.52,36,0,2.08,NG,1731559347
218,revda,56.801,59.9303,-4.53,90,100,5.23,RU,1731559348
219,nsanje,-16.92,35.262,26.46,77,67,2.8,MW,1731559349
220,mount pearl,47.5166,-52.7813,3.51,95,100,11.83,CA,1731559350
221,karwar,14.8,74.1333,29.71,66,95,3.76,IN,1731559351
222,quellon,-43.1167,-73.6167,11.92,97,100,3.08,CL,1731559352
223,lata,40.1629,-8.3327,7.97,89,0,2.63,PT,1731559353
224,margate,51.3813,1.3862,8.72,89,100,4.26,GB,1731559354
225,yanykurgan,43.915,67.2481,-0.2,46,21,0.05,KZ,1731559355
226,santiago de cao,-7.9589,-79.2392,18.07,82,75,3.6,PE,1731559357
227,berdigestyakh,62.0989,126.6992,-14.43,91,100,3.93,RU,1731559358
228,kikwit,-5.041,18.8162,21.85,94,100,0.39,CD,1731559359
229,dali,25.7,100.1833,18.59,43,0,1.18,CN,1731559360
230,namibe,-15.1961,12.1522,21.46,76,98,1.65,AO,1731559361
231,hithadhoo,-0.6,73.0833,27.96,77,98,5.66,MV,1731559362
232,vredendal,-31.6683,18.5012,20.15,47,0,5.03,ZA,1731559363
233,mount gambier,-37.8333,140.7667,16.61,44,47,4.44,AU,1731559364
234,laguna,38.421,-121.4238,12.25,85,0,2.06,US,1731559355
235,znamenskoye,57.1281,73.8282,-16.55,88,39,1.5,RU,1731559367
236,diu,20.7141,70.9822,29.54,41,6,6.13,IN,1731559368
237,tuy hoa,13.0833,109.3,28.02,78,100,3.83,VN,1731559369
238,kapa'a,22.0752,-159.319,23.6,80,21,0.45,US,1731559370
239,sydney mines,46.2367,-60.2177,2.78,81,100,14.4,CA,1731559371
240,kostomuksha,64.571,30.5767,2.32,81,84,5.71,RU,1731559372
241,chuhar jamali,24.3895,67.9923,29.04,39,0,1.92,PK,1731559373
242,madimba,-10.4,40.3333,28.42,68,27,1.78,TZ,1731559374
243,i-n-salah,27.1935,2.4607,18.46,32,6,5.33,DZ,1731559376
244,campbell river,50.0163,-125.2446,8.58,91,100,1.47,CA,1731559377
245,porto novo,6.4965,2.6036,27.9,89,7,1.89,BJ,1731559378
246,gazojak,41.1875,61.4036,1.4,35,0,4.42,TM,1731559379
247,norrtalje,59.758,18.705,3.9,90,92,2.34,SE,1731559380
248,broken hill,-31.95,141.4333,26.04,18,1,5.25,AU,1731559381
249,molde,62.7375,7.1591,6.91,65,75,7.72,NO,1731559382
250,kimbe,-5.5502,150.1429,29.6,68,82,2.15,PG,1731559383
251,newman,37.3138,-121.0208,13.92,76,100,1.79,US,1731559345
252,buka,40.8108,69.1986,3.13,49,7,1.55,UZ,1731559386
253,ar rutbah,33.0381,40.2848,14.5,58,0,2.68,IQ,1731559387
254,mukalla,14.5425,49.1242,26.85,45,4,1.14,YE,1731559388
255,coahuayana de hidalgo,18.7,-103.6583,23.67,88,78,1.3,MX,1731559389
256,labuan,5.2767,115.2417,31.2,74,20,1.54,MY,1731559390
257,takoradi,4.8845,-1.7554,25.55,84,7,2.27,GH,1731559204
258,papatowai,-46.5619,169.4708,13.74,90,100,3.04,NZ,1731559392
259,weirton heights,40.4084,-80.5392,8.03,34,100,0.89,US,1731559393
260,rio rancho,35.2334,-106.6645,6.69,50,0,2.68,US,1731559351
261,kyelang,32.5833,77.0333,1.23,29,56,2.94,IN,1731559395
262,fuglafjordur,62.244,-6.814,6.97,84,74,5.58,FO,1731559397
263,constitucion,-35.3333,-72.4167,13.15,86,55,0.55,CL,1731559398
264,fort bragg,35.139,-79.006,8.84,81,0,1.54,US,1731559399
265,gidole,5.65,37.3667,16.26,65,59,1.75,ET,1731559400
266,thompson,55.7435,-97.8558,-5.91,86,0,1.54,CA,1731559401
267,whitehorse,60.7161,-135.0538,-6.57,86,100,3.09,CA,1731559402
268,taizhou,32.4933,119.9106,24.39,63,9,2.67,CN,1731559403
269,ugoofaaru,5.6667,73.0,28.03,66,68,2.61,MV,1731559404
270,hotan,37.0997,79.9269,12.03,31,58,2.04,CN,1731559405
271,dakoro,14.5106,6.765,22.79,22,3,4.36,NE,1731559407
272,korhogo,9.45,-5.6333,22.81,57,44,0.92,CI,1731559408
